<s>,START 1.0
दो,QT_QTC 0.05946163117717959
करोड़,N_NN 0.00014522543455918496
से,P_SP 0.10880127204734844
ऊपरN,_NST 0.0060882800608828
की,P_SP 0.12688083389770619
कमाई,N_NN 0.00031279324366593683
वालों,N_NN 4.468474909513383e-05
पर,P_SP 0.0656930007950296
अतिरिक्त,N_NN 0.00030162205639215335
टैक्स,N_NN 8.936949819026766e-05
लगाने,V_VM 0.001610541727672035
के,P_SP 0.20314478372250522
प्रस्ताव,N_NN 0.00035747799276107065
विदेशी,JJ 0.0028306742151312406
निवेशक,N_NN 5.5855936368917286e-05
नाराज़,N_NN 4.468474909513383e-05
वित्त,N_NN 6.702712364270074e-05
मंत्री,N_NN 0.0019437865856383216
मिले,V_VM 0.0013177159590043923
</s>,END 1.0
जम्मूकश्मीर,N_NN 0.001999642522007239
P,UN 0.9729342461391498
धारा,N_NN 0.0009160373564502435
370,QT_QTC 0.044596223382884694
हटाए,V_VM 0.0013177159590043923
जाने,V_VAUX 0.008207024029574862
बादN,_NST 0.1187214611872146
नौसेना,N_NN 0.00011171187273783457
हाई,N_NN 0.00012288306001161803
अलर्ट,N_NN 0.0002122525582018857
राष्ट्रपति,N_NN 0.0007708119218910585
ने,P_SP 0.07146432672771709
अधिनियम,N_NN 7.819831091648421e-05
को,P_SP 0.09923147139365743
दी,V_VM 0.005758906783796974
मंजूरी,V_VAUX 0.0004436229205175601
31,QT_QTC 0.0044194455604660505
अक्टूबर,N_NN 0.00014522543455918496
जम्मू,N_NN 0.0014634255328656329
कश्मीर,N_NN 0.003373698556682604
और,CC_CCD 0.7750177430801988
लद्दाख,N_NN 0.00046918986549890525
बन,V_VM 0.004831625183016106
जाएंगे,V_VAUX 0.0025138632162661737
नए,JJ 0.010164693772516727
केंद्रशासित,JJ 0.0006433350488934637
प्रदेश,N_NN 0.0011729746637472631
पूर्वN,_NST 0.0365296803652968
पीएम,N_NN 0.0008825237946288931
डॉ,N_NN 0.00037982036730863756
.,SENT 0.12062146892655368
मनमोहन,N_NN 7.819831091648421e-05
सिंह,N_NN 0.001686849278341302
राजस्थान,N_NN 0.00039099155458242104
कांग्रेस,N_NN 0.0025023459493274947
राज्यसभा,N_NN 0.0006926136109745743
उम्मीदवार,N_NN 0.00030162205639215335
होंगे,V_VM 0.0012201073694485115
आर्टिकल,N_NN 0.00046918986549890525
लेकर,V_VM 0.011273792093704245
बहस,N_NN 0.00027927968184458644
में,P_SP 0.1580047701775566
संविधान,N_NN 0.00041333392912998795
प्रति,N_NN 0.0005473881764153895
फाड़ी,N_NN 4.468474909513383e-05
थी,V_VM 0.003074670571010249
अबN,_NST 0.1095890410958904
जा,V_VM 0.005173255246461689
सकती,V_VAUX 0.006580406654343808
है,V_VAUX 0.23622920517560073
इनकी,P 0.005924170616113744
सदस्यता,N_NN 0.00018991018365431878
कमान,N_NN 0.00015639662183296842
मुकुल,N_NN 0.00014522543455918496
वासनिक,N_NN 0.00011171187273783457
ही,RP_RPD 0.287292817679558
क्यों,N_NN 0.00027927968184458644
?,SENT 0.0923728813559322
यह,DM_DMD 0.20652898067954698
हैं,V_VM 0.018350414836505614
अहम,JJ 0.0037313432835820895
कारण,N_NN 0.0018655882747218373
सांस,N_NN 0.00040216274185620447
लेने,V_VM 0.0025866276232308443
तकलीफ,N_NN 6.702712364270074e-05
बीजेपी,N_NN 0.0004803610527726887
वरिष्ठ,JJ 0.0018013381369016985
नेता,N_NN 0.001832074712900487
अरुण,N_NN 7.819831091648421e-05
जेटली,N_NN 0.00011171187273783457
एम्स,N_NN 0.00015639662183296842
भर्ती,N_NN 0.00020108137092810223
कराया,V_VM 0.00107369448511469
गया,V_VAUX 0.04
हरियाणा,N_NN 0.0005027034273202556
:,RD_PUNC 0.1244416081684748
मम्मीपापा,N_NN 5.5855936368917286e-05
गिफ्ट,N_NN 0.00010054068546405112
जगुआर,N_NN 4.468474909513383e-05
जगह,N_NN 0.0010165780419142947
बीएमडब्ल्यू,N_NN 4.468474909513383e-05
दी,N_NN 0.00046918986549890525
तो,RP_RPD 0.26298342541436465
शख़्स,N_NN 6.702712364270074e-05
कार,N_NN 0.0004915322400464721
नदी,N_NN 0.0004803610527726887
फेंक,V_VM 0.0007320644216691069
दी,V_VAUX 0.006654343807763401
मौजूदा,N_NN 0.00014522543455918496
हालात,N_NN 0.0005920729255105233
वहां,N_NN 0.0008043254837124089
छात्र,N_NN 0.00026810849457080296
परेशान,N_NN 0.00017873899638053532
सुप्रीम,N_NN 0.0006591000491532241
कोर्ट,N_NN 0.0010165780419142947
